"genes"	"hypoxia.01"	"hypoxia.02"	"hypoxia.03"	"hypoxia.04"	"normoxia.01"	"normoxia.02"	"normoxia.03"	"normoxia.04"	"hypoxia_avg"	"normoxia_avg"	"log2FC"	"pval"	"qval"	"pi"
"A1BG"	3.42	2.1	3.95	2.26	3.15	1.27	3.04	1.07	2.93	2.13	0.33	0.168685100992198	0.216018739698454	0.219617828767316
"A1CF"	0.04	0.08	0.11	0.1	0.04	0.08	0.04	0.07	0.08	0.06	0.03	0.164997548673917	0.212278019834267	0.0201928491659124
"A2M"	0.04	0.05	0.02	0	0.09	0.04	0.13	0.02	0.03	0.07	-0.06	0.15177426098219	0.198336795021925	-0.0421558025356953
"A2ML1"	8.74	5.74	2.89	5.89	9.06	6.29	3.23	12.82	5.81	7.85	-0.38	0.743907643592313	0.79309286565464	-0.0382568636006309
"A3GALT2"	0.04	0	0.05	0.11	0.09	0	0.27	0.3	0.05	0.17	-0.15	1	1	0
"A4GALT"	61.16	50.83	38.13	70.81	79.62	68.6	64.91	84.17	55.23	74.33	-0.42	0.0576721787695205	0.0957523153192734	-0.427917300662668
"A4GNT"	0	0.13	0.12	0.05	0	0.08	0	0.24	0.07	0.08	-0.01	1	1	0
"AAAS"	26.8	29.98	38.57	39.47	22.13	24.13	30.51	26.25	33.71	25.76	0.38	0.00116097539912655	0.00835711703174267	0.789618536079671
"AACS"	15.49	15.95	16.52	21.2	16.41	14.67	15.01	18.62	17.29	16.18	0.09	0.100311347309324	0.144152474157942	0.0757060109286883
"AADAC"	0.87	0.07	0	0.46	2.06	0	0.19	0.52	0.35	0.69	-0.32	1	1	0
"AADACL2"	0.14	0.23	0.26	0.09	0.11	0.11	0.24	0.17	0.18	0.15	0.03	0.340369191641563	0.387723196655629	0.0123443464589629
"AADACL3"	0.01	0.07	0.01	0.07	0.03	0	0	0	0.04	0.01	0.05	1	1	0
"AADACL4"	0	0	0.06	0	0.08	0.06	0.09	0	0.02	0.06	-0.06	1	1	0
