genes	hypoxia-01	hypoxia-02	hypoxia-03	hypoxia-04	normoxia-01	normoxia-02	normoxia-03	normoxia-04
A1BG	3.420525	2.1038365	3.949331	2.260184	3.152222	1.273958	3.04497	1.0671045
A1CF	0.0388964	0.0764126	0.1106146	0.0975824	0.0415948	0.079163	0.0444456	0.0733076
A2M	0.0366163	0.0502933	0.0163384	0	0.0939238	0.043106	0.1334765	0.0168484
A2ML1	8.737023	5.737439	2.894229	5.885909	9.059891	6.288899	3.231158	12.820283
A3GALT2	0.0439	0	0.0482697	0.10825	0.093341	0	0.272427	0.29949
A4GALT	61.15634	50.82878	38.12976163132	70.8095	79.61766	68.6041	64.9110100036636	84.17128
A4GNT	0	0.125355	0.118624	0.053244	0	0.0752818	0	0.244916
AAAS	26.797968	29.983071	38.570079	39.469057	22.1279182	24.134243	30.5115295	26.248382
AACS	15.487323	15.95472	16.52174	21.19789	16.41032	14.665531	15.005163	18.621527
AADAC	0.866533	0.0730551	0	0.462577	2.060895	0	0.1867768	0.515929
AADACL2	0.144035	0.226583	0.262354	0.0895127	0.106	0.106373	0.235578	0.167912
AADACL3	0.00840706	0.0742078	0.00937413	0.0736636	0.0269517	0	0	0
AADACL4	0	0	0.060999	0	0.0781398	0.0644877	0.0916129	0
AADAT	1.59577	2.098672	1.543149	2.985187	1.6694324	1.451226	1.6812527	1.5041269
AAGAB	44.654215	56.288	46.695928	56.1295	51.85412	63.2301	62.834412	59.90702
AAK1	27.891326	30.712109	27.935704	38.065059	28.6722798	33.738302	26.682448	30.278826
AAMDC	35.076122	33.607145	41.800541	45.434598	40.931545	40.478207	57.675942	51.113727
AAMP	109.679271	123.079169	136.608788	142.795894	133.957752	146.42151	135.11283	143.79302
AANAT	5.494427	1.77079	3.484978	2.1941534	7.444786	0.5910701	0.3620204	1.312801
AAR2	22.062613	21.269616	26.010989	26.095127	20.445996	23.111924	25.270788	20.976634
AARD	0.379392	0.273231	0.452043	0.385705	0.308327	0.189997	0.297634	0.364555
AARS1	132.85319580221	154.104136741732	222.74553920184	248.511361605	101.686143100211	112.72172660984	128.116211904071	108.578659804819
AARS2	6.99173	6.6964	6.64551	6.60499	7.07602	5.68744	6.91419	6.28537
AARSD1	26.809596	27.481821	35.391667	29.571821	23.145199	23.361882	28.454442	25.247886
AASDH	7.74695700948534	9.328904	11.0357	10.4052548	7.842457	9.102672	11.825643	9.230941
AASDHPPT	28.603211	29.626422	31.66019	32.612717	30.494608	36.761382	42.997802	44.66955
AASS	3.73038894	6.1528773198905	7.351839	8.0736793	7.766363	12.878742175931	14.518576	12.647728510877
AATF	40.19263868457	38.0485620016667	48.6356811	55.0338880245	29.7773733	33.6146392	35.886632	33.32776143
AATK	1.14386	1.5963484	2.0313661	1.35031	0.849959	1.768176	2.21341935	1.23511
ABAT	5.9502733	8.6278415	5.5116719	8.87762	14.52329	21.402514	18.3293009	27.680815
ABCA1	8.303043	6.011315	5.972478	3.7794211	12.7418731	7.756664	6.955499	6.5249533
ABCA10	0.4627147	0.5140486	0.637766	0.513222	1.2988785	1.147759	1.7505527	1.0199204
ABCA12	6.85026	8.28845	2.7424615	4.44819	4.91117	1.54906	1.064173	0.969727
ABCA13	0.6813606159	0.665967	0.8932205	1.122572	2.382577	7.945041	8.4913203	8.802937
ABCA2	10.468381	14.751964	12.5184174	15.372116839729	13.222284	17.9412343351337	19.231066	18.486376
ABCA3	5.274921	4.437402	5.426734	4.029489	3.403781	2.3962690688083	1.799705	1.6127595
ABCA4	0.0763152	0.0793448	0.0802131	0.0731726	0.0575987	0.0579071	0.050765	0.0258434
ABCA5	7.5697992	8.911875	10.254614	9.945086	9.9921723	12.5151059698	18.722655	14.778605
ABCA6	0	0.00616833	0.0140283	0.0236239	0.1937265	0.0962134	0.064193	0.4842165
ABCA7	10.968998	18.266691	16.352582	21.001706	18.792127	20.543655	20.257499	22.630656
ABCA8	0	0.0342394	0	0.06547510395885	0.00627375	0.0207338	0.0657126	0.0401401
ABCA9	2.052603	1.696084	2.192364	2.256785	2.660282	2.634231	3.088034	3.429859
ABCB1	0.0999714	0.14713449	0.041676	0.1777898	0.2594937	0.495999	0.06566275	0.435383
ABCB10	8.17351	10.9298	10.9464	11.3029	9.36706	11.659	11.5656	12.0318
ABCB11	3.11833	3.5507104	3.492531	3.9358522	2.247659	2.9162335	3.3604502	1.0312218
ABCB4	0.592722	0.638178	0.679600300253781	0.596267	0.971685802481	0.7958404	0.49859999492292	0.5606
ABCB5	0.1035219	0.1572821	0.1324005	0.1702683	0.1093569	0.1325089	0.0657	0.0960148
ABCB6	8.71241	11.7843199	13.546857	12.522025	5.246623	4.941232	5.4224050183372	4.059116
ABCB7	15.263052	14.144937844	13.70234531167	13.511539064	15.2758370410146	11.953039	21.2599640100141	18.4539399239
ABCB8	16.977977	18.5820380002743	15.932403	18.471198	16.957826	24.607677	24.385409	19.273202
ABCB9	5.7954412	6.2793549	7.768567566254	8.7748057	5.31981861	6.494902	6.091977203625	5.8710246674114
ABCC1	18.444107	17.865962	18.501671	18.37208	22.428099	17.141208	20.251272	18.324806
ABCC10	9.876437	10.64622	9.68089	11.64055	12.529199	10.83933	14.02658	13.668574
ABCC11	0.0820802	0.121965	0.15181	0.270941	0.0845157	0.1292353	0.0845151	0.12539257
ABCC12	0.200385	0.144296	0.238705	0.167503	0.199973	0.167864	0.234999	0.235848
ABCC2	0.35002558	0.26327614	0.3628628	0.290658	0.1624137	0.563911	0.5664458	0.480751
ABCC3	11.657445	7.857548	10.919601	9.377311	14.588672	17.396741	16.131922	18.203601
ABCC4	1.3270106167	1.87592	3.3760698	5.595763	2.9743856	5.0077027	3.192019	5.1347165
ABCC5	38.03509	33.218048	28.123092	35.001608	45.849331	31.442154	38.56805	32.480547
ABCC6	0.5040328	0.426480878561	0.2534984	0.0865055	0.765464	0.0917475	0.29059536	0.2619458
ABCC8	0.1885957	0.1792609	0.1887573	0.0471073	0.06052978	0.0796982	0.1526436	0.1415913
ABCC9	0.122695	0.160287	0.201465	0.211127	0.173183	0.207883	0.172676	0.208824
ABCD1	8.155361	8.90722	8.15893	10.097113	8.666386	9.980617	9.636485	8.218001
ABCD2	0.031606	0	0	0.0132052	0.0112634	0.0310215	0	0.0181907
ABCD3	46.1079977	45.083793	42.367987	48.369834	59.396423	75.793382	74.96354	91.771205
ABCD4	33.958005	31.993658	46.702084	50.401174	35.981021	44.428565	49.59488	53.364175
ABCE1	37.430274	45.939512	50.802714	41.319251	36.573379	36.800128	38.448745	36.123207
ABCF1	48.823876	51.927663	57.263118	51.204448	49.526382	51.32683	46.466865	47.203717
ABCF2	17.10499	17.29274	16.46457	20.39311	18.91827	18.75543	19.52765	19.9982
ABCF2-H2BK1	14.1526	14.0039	14.8518	15.5653	13.9075	13.8679	13.2934	15.2103
ABCF3	45.625314	43.7512	47.979193	49.37951	43.065568	51.516639	51.673859	50.704914
ABCG1	13.183548225	17.491255	15.6662428	14.4331113	12.417472	19.05224	12.78968	9.8994527
ABCG2	0.4496424	0.23932	0.378693	0.4164203	0.4572295	0.703883	0.527428	0.423226
ABCG4	0.107875	0.150595409	0.120256	0.224994	0.192111	0.105786	0.18047	0.35067672
ABCG5	0.0256828	0.0125773	0.0142934	0.0962605	0	0.0754883	0.0482787	0.0147458
ABCG8	0.151833	0.197625	0.168375	0.2406	0.139022	0.103992	0.205528	0.112316
ABHD1	0.141359	0.379312	0.665903	0.201366	0.311337	0.23814	0.600374	0.499057
ABHD10	24.9454	34.790547	41.32077	32.824831	20.443658	20.62042	24.508492	24.372646
ABHD11	30.130262	28.289424	32.637666	37.175105357	22.137186	25.306428	29.11359	26.265899
ABHD12	136.217228	169.03022	155.7890625	197.497242	111.1633884	151.978396	124.894626002345	160.2065594
ABHD12B	3.497378	2.4344457	4.447966	3.288615	3.123542	2.550086	3.922537	1.927013
ABHD13	5.58393	6.32644	8.1213	7.04325	7.20709	8.39133	9.7712	7.99744
ABHD14A	6.797866	7.600155	7.58315	6.102524	7.544267	8.212916	11.04272	8.152576
ABHD14A-ACY1	1.647573	0.8539576	1.243693	0.68048695	1.0099515	3.625136466846	3.942486	3.49095058551
ABHD14B	21.756431	26.478233	26.731687	31.930851	24.30818	28.0712221	34.090961	38.554369
ABHD15	7.40565	7.08214	5.20801	9.71258	7.72751	9.19388	9.49075	9.7304
ABHD16A	26.8203895	28.392746	25.3816585	28.461319106957	36.862097	38.120616	46.830655	47.257331
ABHD16B	6.83092	4.27747	5.00219	5.48006	7.50695	8.7839	8.62335	8.75169
ABHD17A	50.9619961	52.37105	50.465454	58.99307	45.7622126	52.851714	50.9636682	48.511095
ABHD17B	12.43384	12.24694	15.121655	16.08064	13.70368	18.59424	16.45391	15.8524
ABHD17C	35.10105	27.54727	34.49162	34.06169	23.8166	26.766082	29.94228	31.87444
ABHD18	5.92256	6.955561	9.492354	7.384017	7.255957	9.630818	8.881486	9.022592
ABHD2	80.763782	83.97332	85.045715	79.846221	93.799741	111.98640201629	160.475596	144.318793
ABHD3	10.522267	13.423555	14.84113	13.06017	10.556233	23.363393	14.679212	16.099797
ABHD4	125.329236	100.724406	103.60977	113.202881	93.065412	86.155623	145.17095	107.505845
ABHD5	39.608017	42.843332	51.668884849	46.48407	31.7722087	36.628248	47.430406	42.901514
ABHD6	4.6307	5.873241	5.75653	6.15161	5.33565	9.624012	6.07632	7.161258
ABHD8	15.312907	14.679395	19.81048	22.190958	15.10503	14.194789	14.9451	12.936734
ABI1	50.184041	47.7295110009653	50.7849742513622	45.327039	53.7485	47.2460592	50.7236610922582	54.067599
ABI2	28.567632	27.9125176	32.290423	29.056163	27.692279	19.1354411	29.2689203	21.753712
ABI3	0	0	0	0.0763394	0	0.0653637	0.0297359	0
ABI3BP	83.7678219	124.91231	70.45005	77.680372	64.951985	65.506144	109.9184058036	51.602337
ABITRAM	23.122692	28.81979	27.54366945	23.806232	16.343257	16.3007	22.96952	15.25492
ABL1	19.86778	15.77634	15.85361	20.75466	23.4756	17.01467	18.43989	20.98353
ABL2	5.037583	4.59366	5.15793108205	4.49739820177	4.7525632	3.868827	3.846842395	3.759034
