"target_id"	"pval"	"qval"
"EGLN3"	3.16395304270446e-08	0.000107364114587473
"NDRG1"	1.80472778954842e-08	0.000107364114587473
"SYDE1"	2.52153812979585e-08	0.000107364114587473
"TNFAIP2"	1.23043198132266e-08	0.000107364114587473
"TNFSF15"	3.40061176319121e-08	0.000107364114587473
"ENSG00000285043"	4.28427290723764e-08	0.000112719220189422
"SLC1A6"	1.45932740231566e-07	0.000329099176756499
"KCNK15"	2.02431582642236e-07	0.000355064995954483
"SLC2A1"	1.9911524072036e-07	0.000355064995954483
"GPI"	2.59471313043667e-07	0.000372364922518848
"SUCO"	2.40016186005764e-07	0.000372364922518848
"ALDOC"	3.73021261662682e-07	0.000380042511261554
"IRF1"	3.56476804360394e-07	0.000380042511261554
"LOXL4"	3.85194487532299e-07	0.000380042511261554
"OXCT1"	3.01359803478691e-07	0.000380042511261554
"VPS13C"	3.55308392036138e-07	0.000380042511261554
"BCL6"	4.81010529168529e-07	0.000414864156046464
"CBX6"	4.99329720314381e-07	0.000414864156046464
"PPP1R3G"	4.56197913415592e-07	0.000414864156046464
"ADSS1"	6.76312588688341e-07	0.000416198536686717
"AJM1"	8.62640154672075e-07	0.000416198536686717
"ALDOA"	8.47404537810799e-07	0.000416198536686717
"CD74"	7.38780996146147e-07	0.000416198536686717
"COMP"	5.36704773355176e-07	0.000416198536686717
"GPRC5A"	8.4536570871778e-07	0.000416198536686717
"MPPED2"	8.57710253345878e-07	0.000416198536686717
"OVOL2"	6.32271630619853e-07	0.000416198536686717
"PLCD1"	7.16708259407868e-07	0.000416198536686717
"PRSS3"	7.6714897172057e-07	0.000416198536686717
"SLC9A8"	8.1002940077809e-07	0.000416198536686717
"SWI5"	6.80137668355847e-07	0.000416198536686717
"SYT1"	8.70046351872651e-07	0.000416198536686717
"TUBA4A"	8.61480236994145e-07	0.000416198536686717
"PLOD2"	9.20069688344892e-07	0.000427182944123896
"FTL"	9.7195799738346e-07	0.000438380827048437
"ANG"	1.20147499178245e-06	0.000456190463126293
"ETFDH"	1.08448344503484e-06	0.000456190463126293
"FREM2"	1.17330810219961e-06	0.000456190463126293
"PLCE1"	1.17299678745976e-06	0.000456190463126293
"PRSS8"	1.21373365331967e-06	0.000456190463126293
"SLC2A10"	1.04916870412642e-06	0.000456190463126293
"TIMM17B"	1.12710942435765e-06	0.000456190463126293
"FCRLB"	1.2842572016327e-06	0.000460909609478743
"UAP1"	1.28468407557739e-06	0.000460909609478743
"SEC13"	1.35216032399066e-06	0.000474337841655922
"BHLHE41"	1.62033206582487e-06	0.000519121236173248
"DOCK8"	1.70099521542439e-06	0.000519121236173248
"EEIG1"	1.69742381328772e-06	0.000519121236173248
"GOLGA3"	1.77578530047861e-06	0.000519121236173248
